genetic_id	chromosome	alpha_leave_out	delta_from_full
WEZ39.SG	12	0.08894370809470611	0.008230265933043518
WEZ39.SG	13	0.07642693951996185	-0.004286502641700746
WEZ39.SG	14	0.08229702115292008	0.001583578991257481
WEZ39.SG	15	0.07965291619437645	-0.0010605259672861467
WEZ39.SG	16	0.07916966047852791	-0.0015437816831346818
WEZ39.SG	17	0.07635730638900114	-0.00435613577266146
WEZ39.SG	18	0.08256607783625151	0.0018526356745889178
WEZ39.SG	19	0.08639241420208259	0.005678972040419991
WEZ39.SG	20	0.07978932464115278	-0.0009241175205098179
WEZ39.SG	21	0.08085547834160069	0.00014203617993809037
WEZ39.SG	22	0.08001778388438233	-0.00069565827728027
Sumidouro6_d.SG	1	0.04078413865909661	-0.001688524025785773
Sumidouro6_d.SG	2	0.04390547124611242	0.0014328085612300354
Sumidouro6_d.SG	3	0.044609417490235066	0.002136754805352685
Sumidouro6_d.SG	4	0.04146699044120797	-0.001005672243674413
Sumidouro6_d.SG	5	0.0431228656470641	0.0006502029621817187
Sumidouro6_d.SG	6	0.04410881935270638	0.0016361566678239972
Sumidouro6_d.SG	7	0.044576071211249464	0.002103408526367083
Sumidouro6_d.SG	8	0.0414361596829573	-0.0010365030019250793
Sumidouro6_d.SG	9	0.03985546724392484	-0.002617195440957544
Sumidouro6_d.SG	10	0.042540132187940824	6.746950305844268e-05
Sumidouro6_d.SG	11	0.04047423190733774	-0.001998430777544642
Sumidouro6_d.SG	12	0.04356574045649684	0.0010930777716144577
Sumidouro6_d.SG	13	0.04547883387174804	0.003006171186865657
Sumidouro6_d.SG	14	0.04219628656656858	-0.00027637611831379805
Sumidouro6_d.SG	15	0.04041080938823788	-0.002061853296644503
Sumidouro6_d.SG	16	0.041576580148037376	-0.0008960825368450054
Sumidouro6_d.SG	17	0.04196024190957583	-0.0005124207753065546
Sumidouro6_d.SG	18	0.04287147066805933	0.0003988079831769506
Sumidouro6_d.SG	19	0.04255674904653103	8.408636164864564e-05
Sumidouro6_d.SG	20	0.0422559813850622	-0.00021668129982017892
Sumidouro6_d.SG	21	0.043511367370714295	0.0010387046858319135
Sumidouro6_d.SG	22	0.041237394306743516	-0.0012352683781388651
I4105.AG	1	0.034352589461516404	0.0003825835193434768
I4105.AG	2	0.03547311659998495	0.001503110657812022
