genetic_id,group_id,locality,country,region,lat,lon,date_bp,full_date,alpha_Nea,alpha_SE,alpha_lcb,alpha_ucb,alpha_nSNP,D_Nea_Z,D_Den_Z,coverage,snps_hit,assessment,data_type,high_conf
Kostenki12.AG.BY.AA,Russia_Kostenki_UP,"Kostenki (Voronezh Oblast, Liskinsky District, Starokhvorostanskoye)",Russia,Europe,51.23,39.3,32650.0,31300-30100 BCE,0.051968,0.018045,0.016599800000000005,0.0873362,21585,3.796,1.436,0.0455,48950.0,Pass,AA,False
I2763.AG,Hungary_LateC_Baden,"Vörs (Somogy County, Marcali)",Hungary,Europe,46.665765,17.270774,5172.0,"3363-3101 calBCE (4528±31 BP, DeA-14662)",0.051961,0.020035,0.0126924,0.0912296,13672,1.318,-0.793,0.02914902,30701.0,Pass,AG,False
UKR052.SG,Ukraine_LIA_Scythian,"Maslyny (Crimea, Crimea )",Ukraine,Europe,45.4044,33.2337,2026.0,150-1 BCE,0.051854,0.01268,0.027001199999999996,0.07670679999999999,23444,3.167,1.112,0.0436,48760.0,Pass,SG,False
BB.K.10.2.AG.SG,Kyrgyzstan_BozBarmak_IA_Saka,"Boz-Barmak (Issyk-Kul Lake, 4 km southeast of Balykchi town)",Kyrgyzstan,Unknown,,,2200.0,400-100 calBCE,0.051603,0.018711,0.014929440000000009,0.08827656,16819,2.833,2.425,0.032,36100.0,PROVISIONAL_PASS,SG,False
poz538.SG,Poland_BA,"Rzemiędzice (Lesser Poland Province, Miechów County, Słaboszów)",Poland,Europe,50.391,20.256,3881.0,"2031-1778 calBCE (3580±35, Poz-104946)",0.051444,0.016376,0.019347039999999996,0.08354096,33175,3.009,-1.035,0.0654,72638.0,Pass,SG,False
cch332.SG,Turkey_Catalhoyuk_LN,"Çatalhöyük (Konya, Çumra)",Turkey,Europe,37.6661,32.8257,8425.0,6500-6450 BCE,0.051281,0.019804,0.012465160000000003,0.09009684,19845,1.47,0.472,0.0386,43478.0,PROVISIONAL_PASS,SG,False
I8527.AG,Turkmenistan_C,"Geoksyur (Ahai Region, Tejen)",Turkmenistan,Caucasus / W. Central Asia,37.1907,61.0343,5050.0,3400-2800 BCE,0.051255,0.021487,0.009140480000000006,0.09336952,15278,0.995,0.185,0.0325367,34098.0,Questionable,AG,False
I1553.AG,Spain_C,"Paris Street (Catalonia, Barcelona, Cerdanyola)",Spain,Europe,41.491944,2.138889,4500.0,2850-2250 BCE,0.051241,0.01925,0.013511000000000002,0.088971,17050,3.024,1.082,0.03689168,38772.0,Pass,AG,False
VK153.SG,Poland_Viking,"Bodzia (Kuyavian-Pomeranian Province, Wrocław County, Brześć Kujawski)",Poland,Europe,52.7,18.9,950.0,900-1100 CE,0.051233,0.014599,0.02261896,0.07984704000000001,37212,2.355,-0.503,0.0832407,82708.0,Pass,SG,False
I27075.AG,Spain_LatePunic,"Calle Mármoles (Andalusia, Málaga)",Spain,Europe,36.7202,-4.4203,2250.0,400-200 BCE,0.051205,0.025481,0.0012622399999999978,0.10114776,15266,2.443,0.151,0.0323316,34584.0,Pass,AG,False
