genetic_id,group_id,country,continent,is_modern,lat,lon,date_bp,alpha_Nea,alpha_SE,alpha_nSNP,D_Den_Z,high_conf
S123.EC,China_Shaanxi_Wuzhuangguoliang_LN,China,Eurasia,False,37.8206037,109.050593,5050.0,0.056089,0.020067,17666,0.457,False
I11304.AG,Spain_MLN,Spain,Eurasia,False,41.4391,1.5733,4900.0,0.056087,0.016668,31478,0.099,False
YCH017_alt5.AG,Mexico_LateClassic,Mexico,Americas,False,20.683056,-88.568611,1075.0,0.056003,0.014392,27612,1.035,False
CAO004_alt.AG,Cuba_PreCeramic-2,Cuba,Americas,False,23.038,-81.497,1175.0,0.05595,0.014882,18978,2.434,False
CGG_2_015491.SG,Sweden_Hojagard_IA_Jastorf,Sweden,Eurasia,False,55.58,13.069,1935.0,0.055872,0.012061,41448,1.553,False
BSB004.AG,Kazakhstan_IA_Sarmatian-3,Kazakhstan,Eurasia,False,50.65421,57.170474,2300.0,0.055572,0.017101,23403,1.075,False
C1258.AG,China_Xinjiang_Liushui_IA,China,Eurasia,False,36.46,81.95,2895.0,0.055512,0.017671,18624,0.819,False
I16584.AG,Turkey_ImperialRoman,Turkey,Eurasia,False,40.18,28.69,1900.0,0.055449,0.023588,17236,-1.59,False
I20813.AG,France_GrandEst_IA2,France,Eurasia,False,48.80181,4.27874,2200.0,0.055419,0.021571,14844,-0.015,False
SGR002.SG,Italy_Apulia_IA_a_IA_b_Daunian,Italy,Eurasia,False,41.7,15.7333,2541.0,0.055357,0.010696,48151,1.759,False
DA30_d.SG,Kazakhstan_Sarmatian,Kazakhstan,Eurasia,False,51.555563,64.705221,1948.0,0.055259,0.006669,149411,1.544,False
I6920.AG,Russia_Volgograd_EBA_Yamnaya-o,Russia,Eurasia,False,48.1833333,44.6666667,4850.0,0.055138,0.023953,17385,0.098,False
