label,kind,n_ind,date_bp,date_min,date_max,region,median_coverage,median_snps,median_damage,mean_alpha,note,D_VA,D_VA_se,D_VA_z,D_NEA,D_NEA_se,D_NEA_z,R,R_se,testable,n_snp
UP_Europe_post_LGM,named,5,17045.0,15411.0,24450.0,Europe,1.6271,277114.0,0.12755,0.026746799999999998,Late Upper Palaeolithic / Magdalenian Europe,0.05772719495382886,0.013128459148022183,4.397103597837338,0.04578348393327723,0.008985910510187631,5.095030034115179,1.260873791036913,0.33110872778161987,True,136504
UP_Europe_pre_LGM,named,14,30246.0,27203.0,35208.0,Europe,1.00285,284937.5,0.259,0.026753785714285716,"Kostenki, Sunghir, Vestonice, Goyet, Gravettian",0.07672673139428701,0.013362118262117875,5.742108390988447,0.059882323537829844,0.008526067413434079,7.023440073142795,1.2812918213805773,0.24872454867876262,True,138504
UP_NorthEastAsia,named,8,31850.0,16736.0,39565.0,EastAsia,4.3627835699999995,411800.5,,0.02052625,"Tianyuan, Salkhit, Amur, Yana, Mal'ta — Palaeolithic east of 75E",0.0752590618021851,0.013638826712529539,5.51800117330086,0.05220162874791766,0.00684662996789686,7.624426760710846,1.4416994949642679,0.31474923332698423,True,138509
UstIshim_44ka,named,1,44366.0,44366.0,44366.0,WestSiberia,40.6597621,505813.0,,0.02339,"single 40x genome, 44 kya",0.06079835760910272,0.01868207247633355,3.2543690046231264,0.043928654122486116,0.008173401185764345,5.374586799800905,1.3840250475140636,0.43950939169391073,True,138498
Oase1_40ka,named-lowpower,1,39982.0,39982.0,39982.0,Europe,0.051,25775.0,,0.097978,admitted below the SNP floor; power-limited by construction,0.03667499959215687,0.08111506629340705,0.45213548195223235,0.08894313999650814,0.03211745271019657,2.769308662148997,0.41234208274631085,0.9010231156670458,True,9169
NULLcov_EastAsia_Bronze_HI,null-coverage,106,4097.5,3001.0,4996.0,EastAsia,2.12169238,363995.5,0.087,0.02228250943396226,,0.0755157044891681,0.011898307159412905,6.3467603817427625,0.046505560677705664,0.0058704083485181914,7.922031640174503,1.623799463735304,0.30293483160170365,True,138509
NULLcov_EastAsia_Bronze_LO,null-coverage,106,4238.5,3005.0,4950.0,EastAsia,0.56335,199219.0,0.073,0.022457207547169816,,0.08020572693845172,0.01228485532256757,6.528829589967731,0.04559489962270053,0.006018793347885461,7.575422013570056,1.759094275942201,0.32474999531910853,True,138509
NULLcov_Europe_Bronze_HI,null-coverage,716,4025.0,3000.0,4995.0,Europe,2.81490111,359805.0,0.111,0.020764067039106146,,0.07827105634031536,0.011140514492295066,7.0258026587954,0.04817429230866296,0.006460696576008982,7.456516761296666,1.624747403424549,0.3001768193754982,True,138509
NULLcov_Europe_Bronze_LO,null-coverage,716,4052.0,3000.0,4998.0,Europe,0.71304032,208963.5,0.102,0.02070353351955307,,0.07735220104258793,0.011195570363321455,6.909179124630092,0.048907623522191884,0.006497542552498309,7.527095532969904,1.5815980305706183,0.2888223038874444,True,138509
NULLcov_Europe_Iron_Classical_HI,null-coverage,823,2175.0,1500.0,2977.0,Europe,3.3809500000000003,378268.0,0.117,0.020767667071688947,,0.0783510359843327,0.011477100716513564,6.826727230126952,0.047264911462680755,0.006366403215331682,7.424115291481473,1.657699836086582,0.3083673293595866,True,138509
