label,kind,n_ind,date_bp,date_min,date_max,region,median_coverage,median_snps,median_damage,mean_alpha,note,D_VA,D_VA_se,D_VA_z,D_NEA,D_NEA_se,D_NEA_z,R,R_se,testable,n_snp
NULLrand_Europe_Iron_Classical_r1A,null-random,823,2176.0,1500.0,2993.0,Europe,1.621,330852.0,0.116,0.020477877278250303,,0.07415806712603301,0.006047647254636353,12.262300363034674,0.031423103179400995,0.003762077989398444,8.352592175906898,2.359985476375432,0.3330439432824635,True,507219
NULLrand_Europe_Iron_Classical_r1B,null-random,823,2175.0,1500.0,2977.0,Europe,1.6086,326844.0,0.116,0.020855434993924667,,0.07544801600716838,0.006087847511022351,12.39321712157967,0.03158470639317861,0.0038617449791916343,8.17886902510847,2.388751539050652,0.33671852999657986,True,507219
NULLrand_Europe_Iron_Classical_r2A,null-random,823,2175.0,1500.0,2977.0,Europe,1.6482999999999999,330086.0,0.1165,0.020438884568651276,,0.0749646337893456,0.0059944148905686475,12.505746625461596,0.03127892213464858,0.0038201663825992577,8.187842884834316,2.396650161621301,0.34205068207138994,True,507219
NULLrand_Europe_Iron_Classical_r2B,null-random,823,2175.0,1500.0,2993.0,Europe,1.58631204,328601.0,0.116,0.020894427703523694,,0.07466882532350859,0.006142127409660366,12.156834325199624,0.03172952578066924,0.003806474029930009,8.335673783974999,2.3532915631849596,0.32812766867885174,True,507219
NULLrand_Europe_Medieval_Recent_r0A,null-random,1492,1175.0,100.0,1495.0,Europe,1.69986503,326523.0,0.154,0.022196855898123327,,0.07618163290225184,0.006102608942427092,12.483453162567116,0.03303919707689764,0.0036903944130268593,8.95275501184138,2.3057955290179,0.30942019045528496,True,507219
NULLrand_Europe_Medieval_Recent_r0B,null-random,1492,1175.0,100.0,1498.0,Europe,1.6942,336530.5,0.155,0.022060794906166217,,0.07630409157735113,0.0060191030977994235,12.676986975891444,0.03283822317945091,0.0037014287795773615,8.871769561158613,2.3236364269885263,0.312226829458897,True,507219
NULLrand_Europe_Medieval_Recent_r1A,null-random,1492,1175.0,123.0,1498.0,Europe,1.74393975,333285.0,0.154,0.022065262064343165,,0.07648405389176487,0.006081527558155239,12.576454379327917,0.03291955978292797,0.0036870879085571235,8.928336020013816,2.323361988923964,0.31279244662995787,True,507219
NULLrand_Europe_Medieval_Recent_r1B,null-random,1492,1150.0,100.0,1495.0,Europe,1.66419442,330099.5,0.154,0.02219238873994638,,0.0759994498872604,0.006037738140596566,12.587404110200643,0.032955368975634246,0.0037056254597590105,8.893335101863599,2.3061325741323384,0.3089165593587293,True,507219
NULLrand_Europe_Medieval_Recent_r2A,null-random,1492,1175.0,123.0,1495.0,Europe,1.68068178,328445.0,0.15435469,0.022148423592493294,,0.07617684025517431,0.006051326241701275,12.588453706266856,0.03297709736308192,0.0036893707899592946,8.938406910151139,2.3099922778666016,0.30822136121009086,True,507219
NULLrand_Europe_Medieval_Recent_r2B,null-random,1492,1175.0,100.0,1498.0,Europe,1.7161343800000002,335449.0,0.154,0.022109227211796246,,0.07631390618167891,0.006069593964764436,12.573148488136257,0.0328971990651718,0.003702481312082619,8.88517626215036,2.3197691095371185,0.31350222322639176,True,507219
NULLrand_Europe_Neolithic_r0A,null-random,731,6414.0,5000.0,7981.0,Europe,1.636112195,320096.0,0.115,0.02033052120383037,,0.0745024722676462,0.006534537835163686,11.401337653404216,0.03156098746563509,0.0038183778558159866,8.26554852803862,2.360587492668522,0.3376359828235937,True,507219
