target,model,fit,date_bp,n,n_snp,p,feasible,WHG_pct,WHG_se,EHG_pct,EHG_se,CHG_pct,CHG_se,Anatolia_N_pct,Anatolia_N_se,Iran_N_pct,Iran_N_se,Steppe_Yamnaya_pct,Steppe_Yamnaya_se
Steppe_MLBA,deep5,constrained,3825.0,48,475869,8.459029625728632e-23,True,0.0,0.55810476475565,54.76212455754785,0.7708127993081135,4.234936908110186e-20,0.012606925310569065,30.43326167912547,0.5192838151370033,14.80461376332668,0.656678404606104,,
Steppe_MLBA,deep4,free,3825.0,48,475869,1.0492367235989438e-21,False,-7.834895530331232,2.7303357822227707,55.20635262294746,2.057928267541156,26.620400196916044,2.5239475008643404,26.008142710467713,2.5296343207842273,,,,
Steppe_MLBA,deep4,constrained,3825.0,48,475869,9.16137950458117e-24,True,-2.220446049250313e-14,6.550278210501508e-14,51.30020825524254,1.0893218550204053,27.316847131079093,0.5423741390832545,21.382944613678383,0.6123412135154935,,,,
Italy_BA,west3,free,3835.0,42,475899,3.5091423738505e-06,True,8.669495872680804,1.6005374718538319,,,,,81.88488388889677,1.7247010505220397,,,9.445620238422425,1.9136565866237965
Italy_BA,west3,constrained,3835.0,42,475899,3.5091423738505e-06,True,8.669495872680804,0.761207978782942,,,,,81.88488388889677,1.617741014930836,,,9.445620238422425,0.8665418595375904
Italy_BA,deep4,free,3835.0,42,475900,5.9298244727538725e-08,True,7.388546289575415,2.511966596966556,6.070313759941621,1.7302021670334573,0.7757538450959833,2.0771052147605857,85.76538610538698,1.950530131865738,,,,
Italy_BA,deep4,constrained,3835.0,42,475900,5.9298244727538725e-08,True,7.388546289575415,1.2140695768313245,6.070313759941621,0.7249490090804539,0.7757538450959833,0.8386202476906027,85.76538610538698,0.9248681389969873,,,,
Italy_BA,deep5,free,3835.0,42,475900,0.08114229402741233,False,20.06975724744786,12.043242616391217,8.23810941335371,3.8461593282127344,-71.24620139015529,71.09310631422338,97.76875201163176,11.638435617695125,45.169582717721966,46.271059333532385,,
Italy_BA,deep5,constrained,3835.0,42,475900,9.019119338499894e-09,True,8.859239607851343,0.9286924423812641,5.522140997130101,0.6162230159522174,0.0,0.1964439105733413,85.61861939501856,0.912802733487721,9.103567553398038e-17,0.3502271918931233,,
Italy_BA,west4,free,3835.0,42,475899,8.193193834227705e-06,False,7.645904919984554,2.115477304966257,,,,,83.99380469254723,1.3541971049646675,-2.1549153779890675,1.9357023298071299,10.515205765457274,2.6655008321747085
Italy_BA,west4,constrained,3835.0,42,475899,9.028921108095971e-07,True,7.645904919984554,3.198356695316509,,,,,81.83888931455817,1.9684788073714197,0.0,2.7562951885005353e-19,10.515205765457274,2.8856375408817163
Italy_BA,hg3,free,3835.0,42,475900,1.6472657823345452e-76,False,67.86954013101007,3.5696860736515705,-26.23113989351143,2.590759070850015,58.36159976250135,3.2635827213270283,,,,,,
Italy_BA,hg3,constrained,3835.0,42,475900,1.6212252990301205e-105,True,37.809566321945674,2.498308633309572,0.0,3.2934202964378074e-18,62.190433678054326,2.498308633309573,,,,,,
Etruscan,west4,free,2350.0,48,475899,8.00666891791547e-09,True,5.492766904587923,1.6684801614438094,,,,,62.81134824108141,1.2637901695104865,4.225026692283824,1.5397313094956289,27.470858162046834,2.1094894910131763
Etruscan,west4,constrained,2350.0,48,475899,8.00666891791547e-09,True,5.492766904587923,0.5656084512768979,,,,,62.81134824108141,0.9686404389663582,4.225026692283824,0.2965364341353297,27.470858162046834,0.6297855635742927
Etruscan,west3,free,2350.0,48,475899,4.068474650909597e-09,True,5.695907291876575,1.351126474778901,,,,,66.839590151709,1.2427839226046284,,,27.464502556414423,1.6967675118450498
Etruscan,west3,constrained,2350.0,48,475899,4.068474650909597e-09,True,5.695907291876575,0.49264818925404535,,,,,66.839590151709,1.1020743949752494,,,27.464502556414423,0.6189545176446656
Etruscan,deep4,free,2350.0,48,475900,4.3268366724392437e-10,True,2.211186812639332,2.013165292426582,16.307181653178347,1.4291474225417318,12.753274074176302,1.6956337351825477,68.72835746000602,1.6042144994958059,,,,
Etruscan,deep4,constrained,2350.0,48,475900,4.3268366724392437e-10,True,2.211186812639332,0.4669386681189021,16.307181653178347,0.6049376049506,12.753274074176302,0.455895666991743,68.72835746000602,0.5239042762816264,,,,
Etruscan,deep5,free,2350.0,48,475900,0.036147269311622425,False,12.502567918450058,9.689559504448114,19.242484404780217,3.3858148583216514,-58.30418404990451,55.451638340108445,80.11920786509579,9.695829106568441,46.43992386157844,35.450160034132914,,
Etruscan,deep5,constrained,2350.0,48,475900,2.410693878043146e-09,True,3.169377498749293,1.400211039016701,17.040335929099786,0.37767108606971184,0.8686293406347422,0.5410856005286865,70.30163822703817,0.4568247381276644,8.620019004478005,0.6898323648809132,,
