genetic_id,group_id,date_bp,coverage,locality,alpha_Nea,alpha_SE,alpha_nSNP,D_Den,D_Den_SE,D_Den_Z,D_Den_nSNP
FUT001.AG,Vanuatu_1100BP,1159.0,1.30947934,Futuna (Tafea Province),0.027039,0.004861,275672,0.017349,0.008116,2.138,319758
I24259.AG,Guam_Latte,708.0,5.11459719,"Naton Beach Site (Guam, Tamuning-Tumon-Harmon Municipality, Tamuning)",0.031749,0.00581,318499,0.000936,0.006126,0.153,389655
I24230.AG,Guam_Latte,705.0,4.03803191,"Naton Beach Site (Guam, Tamuning-Tumon-Harmon Municipality, Tamuning)",0.024334,0.004914,305672,-0.002631,0.006533,-0.403,375470
I24595.AG,Guam_Latte,704.0,6.84098314,"Naton Beach Site (Guam, Tamuning-Tumon-Harmon Municipality, Tamuning)",0.024056,0.005788,380457,-0.002203,0.005794,-0.38,456212
I24580.AG,Guam_Latte,700.0,6.63300392,"Naton Beach Site (Guam, Tamuning-Tumon-Harmon Municipality, Tamuning)",0.019934,0.005073,366386,-0.006295,0.005574,-1.129,442156
I24249.AG,Guam_Latte,700.0,2.38447159,"Naton Beach Site (Guam, Tamuning-Tumon-Harmon Municipality, Tamuning)",0.020685,0.005147,303559,-0.004275,0.006548,-0.653,370155
I24248.AG,Guam_Latte,700.0,3.28418036,"Naton Beach Site (Guam, Tamuning-Tumon-Harmon Municipality, Tamuning)",0.017096,0.006142,295030,-0.007334,0.006952,-1.055,361793
I24530.AG,Guam_Latte,656.0,3.64303226,"Naton Beach Site (Guam, Tamuning-Tumon-Harmon Municipality, Tamuning)",0.022198,0.006125,349858,-0.007386,0.005441,-1.357,421214
I24526.AG,Guam_Latte,656.0,5.37991412,"Naton Beach Site (Guam, Tamuning-Tumon-Harmon Municipality, Tamuning)",0.023225,0.005054,368286,-0.005758,0.005471,-1.052,441572
I24252.AG,Guam_Latte,650.0,,"Naton Beach Site (Guam, Tamuning-Tumon-Harmon Municipality, Tamuning)",0.013488,0.004965,298207,-0.013565,0.007458,-1.819,364242
I24240.AG,Guam_Latte,650.0,,"Naton Beach Site (Guam, Tamuning-Tumon-Harmon Municipality, Tamuning)",0.009778,0.006413,304108,-0.012604,0.006093,-2.069,373892
I24525.AG,Guam_Latte,602.0,3.96434155,"Naton Beach Site (Guam, Tamuning-Tumon-Harmon Municipality, Tamuning)",0.0214,0.005482,353469,0.001912,0.005714,0.335,427209
I24255.AG,Guam_Latte,601.0,3.57552195,"Naton Beach Site (Guam, Tamuning-Tumon-Harmon Municipality, Tamuning)",0.018007,0.005528,307673,-0.011911,0.00543,-2.194,376724
I24568.AG,Guam_Latte,600.0,2.39054473,"Naton Beach Site (Guam, Tamuning-Tumon-Harmon Municipality, Tamuning)",0.01485,0.005419,343079,-0.008902,0.005865,-1.518,411912
I24613.AG,Guam_Latte,600.0,4.81945597,"Naton Beach Site (Guam, Tamuning-Tumon-Harmon Municipality, Tamuning)",0.015424,0.00623,351226,-0.00765,0.005373,-1.424,426006
I24577.AG,Guam_Latte,600.0,3.10451323,"Naton Beach Site (Guam, Tamuning-Tumon-Harmon Municipality, Tamuning)",0.014103,0.006523,364951,-0.007737,0.005922,-1.307,437111
I25191.AG,Guam_LateLattePeriod,600.0,1.60278941,Haputo (Finegayan Station),0.024775,0.006097,329764,-0.00829,0.006873,-1.206,390922
I25187.AG,Guam_LateLattePeriod,600.0,0.181062,Haputo (Finegayan Station),0.020563,0.010657,74542,0.011313,0.011452,0.988,87906
I25188.AG,Guam_LateLattePeriod,600.0,0.07630195,Haputo (Finegayan Station),0.035619,0.015891,34991,-0.013734,0.017246,-0.796,40681
I25190.AG,Guam_LateLattePeriod,600.0,0.17899272,Haputo (Finegayan Station),0.016589,0.010465,76712,-0.014257,0.011459,-1.244,89510
I24574.AG,Guam_Latte,600.0,4.26962323,"Naton Beach Site (Guam, Tamuning-Tumon-Harmon Municipality, Tamuning)",0.015596,0.005163,362411,-0.015502,0.006085,-2.547,435894
I24594.AG,Guam_Latte,600.0,2.01207242,"Naton Beach Site (Guam, Tamuning-Tumon-Harmon Municipality, Tamuning)",0.01802,0.005443,330962,-0.005188,0.007361,-0.705,398794
I24253.AG,Guam_Latte,600.0,1.86227044,"Naton Beach Site (Guam, Tamuning-Tumon-Harmon Municipality, Tamuning)",0.018822,0.007235,273169,-0.013234,0.006655,-1.989,335272
I24242.AG,Guam_Latte,600.0,2.74784098,"Naton Beach Site (Guam, Tamuning-Tumon-Harmon Municipality, Tamuning)",0.015857,0.006136,294003,-0.007143,0.005702,-1.253,361183
I24585.AG,Guam_Latte,575.0,3.67911308,"Naton Beach Site (Guam, Tamuning-Tumon-Harmon Municipality, Tamuning)",0.015013,0.005133,360152,-0.011144,0.00535,-2.083,433373
I24247.AG,Guam_Latte,550.0,3.21508397,"Naton Beach Site (Guam, Tamuning-Tumon-Harmon Municipality, Tamuning)",0.014643,0.005973,290695,-0.010129,0.006016,-1.684,357513
I24262.AG,Guam_Latte,550.0,,"Naton Beach Site (Guam, Tamuning-Tumon-Harmon Municipality, Tamuning)",0.011291,0.005155,305939,-0.011529,0.006397,-1.802,374585
I24527.AG,Guam_Latte,531.0,7.16500484,"Naton Beach Site (Guam, Tamuning-Tumon-Harmon Municipality, Tamuning)",0.016099,0.005889,389586,-0.010599,0.004854,-2.184,464617
I24241.AG,Guam_Latte,525.0,6.27842877,"Naton Beach Site (Guam, Tamuning-Tumon-Harmon Municipality, Tamuning)",0.023577,0.004583,319000,-0.001603,0.007082,-0.226,392148
I24246.AG,Guam_Latte,525.0,5.4327352,"Naton Beach Site (Guam, Tamuning-Tumon-Harmon Municipality, Tamuning)",0.024824,0.005297,320156,-9.4e-05,0.006622,-0.014,392079
I24573.AG,Guam_Latte,525.0,5.55682191,"Naton Beach Site (Guam, Tamuning-Tumon-Harmon Municipality, Tamuning)",0.012519,0.005153,373909,-0.00911,0.006138,-1.484,448422
I24572.AG,Guam_Latte,525.0,0.15347211,"Naton Beach Site (Guam, Tamuning-Tumon-Harmon Municipality, Tamuning)",0.028112,0.009776,65284,0.008578,0.012388,0.692,78302
I24575.AG,Guam_Latte,525.0,2.62367606,"Naton Beach Site (Guam, Tamuning-Tumon-Harmon Municipality, Tamuning)",0.013378,0.005672,346368,-0.008644,0.006439,-1.342,417506
I24581.AG,Guam_Latte,525.0,4.15223541,"Naton Beach Site (Guam, Tamuning-Tumon-Harmon Municipality, Tamuning)",0.017761,0.005491,358080,-0.005053,0.005686,-0.889,432317
I24578.AG,Guam_Latte,525.0,2.67342494,"Naton Beach Site (Guam, Tamuning-Tumon-Harmon Municipality, Tamuning)",0.027432,0.005989,347186,-0.007436,0.005609,-1.326,418882
I24579.AG,Guam_Latte,525.0,3.76758653,"Naton Beach Site (Guam, Tamuning-Tumon-Harmon Municipality, Tamuning)",0.019251,0.004847,360743,-0.010525,0.006635,-1.586,435209
I24531.AG,Guam_Latte,525.0,7.57238543,"Naton Beach Site (Guam, Tamuning-Tumon-Harmon Municipality, Tamuning)",0.019048,0.004783,369474,-0.011225,0.005069,-2.214,444083
I24250.AG,Guam_Latte,525.0,,"Naton Beach Site (Guam, Tamuning-Tumon-Harmon Municipality, Tamuning)",0.009549,0.020585,15653,0.045266,0.021087,2.147,18573
I24616.AG,Guam_Latte,525.0,,"Naton Beach Site (Guam, Tamuning-Tumon-Harmon Municipality, Tamuning)",-0.018029,0.013653,54660,-0.042409,0.01422,-2.982,64642
I24586.AG,Guam_Latte,525.0,3.85058216,"Naton Beach Site (Guam, Tamuning-Tumon-Harmon Municipality, Tamuning)",0.014441,0.005831,339928,-0.002791,0.00627,-0.445,413812
I24584.AG,Guam_Latte,525.0,0.5109361,"Naton Beach Site (Guam, Tamuning-Tumon-Harmon Municipality, Tamuning)",0.017346,0.006798,174805,-0.014399,0.008499,-1.694,207718
I24618.AG,Guam_Latte,525.0,4.68535483,"Naton Beach Site (Guam, Tamuning-Tumon-Harmon Municipality, Tamuning)",0.021848,0.005208,320150,-0.004311,0.006517,-0.662,392584
