target,model,sources,outgroups,n_snp,chi2,dof,p,status
Africa_Neolithic,west3,Anatolia_N;Steppe_Yamnaya;WHG,Mbuti;Han;Papuan;Karitiana;Ust_Ishim;Kostenki14;MA1;Natufian;Iran_N;CHG;EHG,475937,8655.191196460655,8,0.0,rejected
Africa_Neolithic,west4,Anatolia_N;Steppe_Yamnaya;WHG;Iran_N,Mbuti;Han;Papuan;Karitiana;Ust_Ishim;Kostenki14;MA1;Natufian;CHG;EHG,475937,6013.857539647079,6,0.0,rejected
Africa_Neolithic,deep4,WHG;EHG;CHG;Anatolia_N,Mbuti;Han;Papuan;Karitiana;Ust_Ishim;Kostenki14;MA1;Natufian;Iran_N,475937,7492.041176340978,5,0.0,rejected
Africa_Neolithic,deep5,WHG;EHG;CHG;Anatolia_N;Iran_N,Mbuti;Han;Papuan;Karitiana;Ust_Ishim;Kostenki14;MA1;Natufian,475937,5420.145094565919,3,0.0,rejected
Africa_Neolithic,hg3,WHG;EHG;CHG,Mbuti;Han;Papuan;Karitiana;Ust_Ishim;Kostenki14;MA1;Natufian;Iran_N,475937,7072.887719560654,6,0.0,rejected
Africa_Bronze_Age,west3,Anatolia_N;Steppe_Yamnaya;WHG,Mbuti;Han;Papuan;Karitiana;Ust_Ishim;Kostenki14;MA1;Natufian;Iran_N;CHG;EHG,475937,7114.677332356917,8,0.0,rejected
Africa_Bronze_Age,west4,Anatolia_N;Steppe_Yamnaya;WHG;Iran_N,Mbuti;Han;Papuan;Karitiana;Ust_Ishim;Kostenki14;MA1;Natufian;CHG;EHG,475937,8659.728319043501,6,0.0,rejected
Africa_Bronze_Age,deep4,WHG;EHG;CHG;Anatolia_N,Mbuti;Han;Papuan;Karitiana;Ust_Ishim;Kostenki14;MA1;Natufian;Iran_N,475937,7391.506849471639,5,0.0,rejected
Africa_Bronze_Age,deep5,WHG;EHG;CHG;Anatolia_N;Iran_N,Mbuti;Han;Papuan;Karitiana;Ust_Ishim;Kostenki14;MA1;Natufian,475937,7714.551049149957,3,0.0,rejected
Africa_Bronze_Age,hg3,WHG;EHG;CHG,Mbuti;Han;Papuan;Karitiana;Ust_Ishim;Kostenki14;MA1;Natufian;Iran_N,475937,7391.506849471639,6,0.0,rejected
Africa_Iron_Age,west3,Anatolia_N;Steppe_Yamnaya;WHG,Mbuti;Han;Papuan;Karitiana;Ust_Ishim;Kostenki14;MA1;Natufian;Iran_N;CHG;EHG,475937,5849.983668762337,8,0.0,rejected
Africa_Iron_Age,west4,Anatolia_N;Steppe_Yamnaya;WHG;Iran_N,Mbuti;Han;Papuan;Karitiana;Ust_Ishim;Kostenki14;MA1;Natufian;CHG;EHG,475937,2073.6298520702776,6,1.474469854326317e-217,rejected
