genetic_id,group_id,country,lat,lon,date_bp,data_type,alpha_Nea,alpha_adj,alpha_SE,alpha_nSNP,high_conf,expected_Nea,residual_Nea,z_resid,sigma_bio_local,se_expected,n_neighbors_eff,D_Nea_Z,D_Den_Z,flags
SZ28.AG,Hungary_Lombards-2,Hungary,46.2833333,17.85,1425.0,AG,0.030546,0.03174636475678767,0.00629,340025,True,0.021235272597727003,0.01051109215906067,1.6661794822333207,0.0,0.00048276690591853494,75.42041694577377,3.819,-0.324,
SZ30.AG,Hungary_Lombards,Hungary,46.2833333,17.85,1425.0,AG,0.020847,0.022047364756787674,0.006869,206050,True,0.021714553222780437,0.00033281153400723656,0.04829185835012941,0.0,0.000558524318605087,75.6138337847412,2.727,-0.267,
SZ31.AG,Hungary_Lombards-1,Hungary,46.2833333,17.85,1425.0,AG,0.016929,0.018129364756787673,0.011939,55919,False,0.021363935583516454,-0.0032345708267287818,-0.27057186354608215,0.0,0.0006099761880476892,78.08705875466326,0.463,0.035,low_power
SZ32.AG,Hungary_Lombards-1,Hungary,46.2833333,17.85,1425.0,AG,0.02343,0.024630364756787673,0.00553,347813,True,0.02120269757785493,0.0034276671789327424,0.6170507902619835,0.0,0.000525571554788,76.49391431719107,4.343,0.143,
SZ37.AG,Hungary_Lombards-1,Hungary,46.2833333,17.85,1430.0,AG,0.015935,0.017135364756787674,0.00663,217517,True,0.022017200089519847,-0.004881835332732173,-0.7337658549326708,0.0,0.0005542210810764761,75.48155270537154,2.678,-0.313,
SZ38.AG,Hungary_Lombards,Hungary,46.2833333,17.85,1425.0,AG,0.023275,0.024475364756787674,0.005472,326005,True,0.021807421217030807,0.0026679435397568667,0.48512789978450743,0.0,0.0005489289540042535,76.15718213558354,3.189,-0.005,
SZ40.AG,Hungary_Lombards-1,Hungary,46.2833333,17.85,1425.0,AG,0.019006,0.02020636475678767,0.006672,325889,True,0.02033995680985325,-0.00013359205306557806,-0.019962900735399153,0.0,0.0005171996166812262,76.64111239664362,2.013,-1.283,
SZ41.AG,Hungary_Lombards,Hungary,46.2833333,17.85,1425.0,AG,0.028238,0.029438364756787672,0.00783,94770,False,0.020698808442256775,0.008739556314530897,1.1129780521163277,0.0,0.0005927824206964195,77.61931168321384,2.596,0.239,
SZ42.AG,Hungary_Lombards,Hungary,46.2833333,17.85,1425.0,AG,0.018143,0.019343364756787673,0.006057,370221,True,0.020719091000680503,-0.0013757262438928303,-0.22614917473612076,0.0,0.0005647226239914962,76.12114868928798,3.988,-0.394,
SZ6.AG,Hungary_Lombards-2,Hungary,46.2833333,17.85,1425.0,AG,0.011454,0.012654364756787674,0.014527,25180,False,0.021234516758109688,-0.008580152001322014,-0.590169545588484,0.0,0.0005769547785886549,78.23851076281215,0.717,-0.251,low_power
