genetic_id,alpha_Nea,alpha_SE,alpha_nSNP,D_Nea,D_Nea_SE,D_Nea_Z,D_Nea_nSNP,D_Den,D_Den_SE,D_Den_Z,D_Den_nSNP
I1908.AG,0.044897,0.010217,64486,0.043028,0.010657,4.038,101300,0.010849,0.015283,0.71,52221
I1909.AG,0.037088,0.011504,58698,0.037301,0.010742,3.472,91433,0.015384,0.016095,0.956,47171
I1934.AG,0.015546,0.044114,3877,0.014671,0.041771,0.351,5963,0.049974,0.06576,0.76,3091
I1955.AG,0.051039,0.011231,91600,0.047387,0.009385,5.049,144918,0.017306,0.013189,1.312,75911
I1958.AG,-0.01858,0.04547,3709,-0.010203,0.038788,-0.263,5914,-0.089747,0.047375,-1.894,3086
I1959.AG,0.043704,0.009886,96540,0.040616,0.010966,3.704,152608,0.028017,0.012446,2.251,80190
I1960.AG,0.045387,0.00884,94135,0.039495,0.009355,4.222,148741,0.033388,0.012333,2.707,78084
I1965.AG,0.050611,0.008249,96206,0.059234,0.008543,6.933,152020,0.030386,0.012388,2.453,79426
I1972.AG,0.044344,0.012756,42214,0.047488,0.011444,4.149,66844,0.019481,0.015919,1.224,34983
I1975.AG,0.02215,0.022589,12643,0.036448,0.022943,1.589,19678,0.028441,0.037907,0.75,10275
I0166.AG,-0.000435,0.021257,13611,0.021314,0.020449,1.042,21579,-0.02095,0.026848,-0.78,11329
I2020.AG,0.081348,0.027714,7738,0.079554,0.029327,2.713,12111,0.100596,0.044619,2.255,6354
I2177.AG,0.005432,0.041967,4316,0.031053,0.039502,0.786,6744,-0.070276,0.062124,-1.131,3379
I2403.AG,0.02914,0.013649,33318,0.031646,0.013391,2.363,52880,-0.014543,0.022895,-0.635,27741
I2417.AG,0.025697,0.00811,96784,0.025955,0.006598,3.934,152210,0.017879,0.010714,1.669,77553
I2428.AG,0.038079,0.024045,9252,0.046755,0.026473,1.766,14225,-0.027387,0.035286,-0.776,7153
I2458.AG,0.048782,0.008494,95574,0.044973,0.009453,4.758,150763,0.014923,0.013605,1.097,77806
I2461.AG,0.04361,0.008921,90575,0.044452,0.009368,4.745,143019,0.039649,0.013316,2.978,74055
I2462.AG,0.043006,0.009996,96232,0.04818,0.010193,4.727,151710,0.019756,0.014091,1.402,78246
I2464.AG,0.066508,0.031706,5990,0.103039,0.027815,3.704,9471,0.06152,0.052371,1.175,4933
I2477.AG,0.026573,0.007843,92539,0.032481,0.008795,3.693,145724,0.019139,0.014282,1.34,75304
I2509.AG,0.034431,0.008479,101200,0.050917,0.007964,6.393,159616,0.013587,0.012164,1.117,83214
I2510.AG,0.039171,0.008807,94015,0.041015,0.008746,4.69,148650,0.008926,0.012891,0.692,78123
I2513.AG,0.028899,0.009907,73710,0.026592,0.010214,2.604,116745,0.018594,0.014122,1.317,61899
I2514.AG,0.02802,0.010041,84683,0.030477,0.009694,3.144,134333,0.006524,0.012664,0.515,71364
I2519.AG,0.034049,0.00807,89033,0.041135,0.007743,5.312,140898,0.017044,0.013624,1.251,74027
I2520.AG,0.029468,0.010353,90981,0.033373,0.00939,3.554,143808,0.011596,0.012478,0.929,76019
I2525.AG,0.033389,0.009296,98206,0.043003,0.008319,5.169,155148,0.01052,0.011491,0.915,81479
I2530.AG,0.03783,0.010411,79053,0.034949,0.010415,3.356,124914,0.030116,0.012765,2.359,65690
I2532.AG,0.038108,0.008809,80783,0.034017,0.007845,4.336,127819,0.000348,0.01165,0.03,67149
I2533.AG,0.032166,0.007628,89831,0.028142,0.008829,3.187,141881,-0.002243,0.009288,-0.241,74518
I2534.AG,0.045295,0.012675,49507,0.04516,0.012494,3.615,77973,0.018739,0.015546,1.205,40985
I2566.AG,0.033005,0.011331,53487,0.042899,0.011509,3.727,85890,-0.001581,0.018006,-0.088,45864
I2567.AG,0.028722,0.011267,66294,0.039614,0.01157,3.424,105656,0.012122,0.014871,0.815,56355
I2568.AG,0.02878,0.010677,64202,0.0354,0.011734,3.017,102515,0.012738,0.019316,0.659,54297
I2573.AG,0.047358,0.01114,72224,0.045724,0.011672,3.917,113659,0.017293,0.011019,1.569,59080
I2596.AG,0.024974,0.00986,59851,0.032918,0.009116,3.611,94864,0.00432,0.015144,0.285,50172
I2600.AG,0.025213,0.012633,59982,0.026458,0.011131,2.377,95581,0.024576,0.016419,1.497,51608
I2601.AG,0.03696,0.011812,57497,0.029861,0.010873,2.746,91371,0.017643,0.013906,1.269,48634
I2602.AG,0.030202,0.009947,74023,0.028436,0.009763,2.913,116735,0.036716,0.01281,2.866,61179
I2605.AG,0.024345,0.009708,70994,0.036394,0.008897,4.091,112494,0.030412,0.0131,2.322,59286
I2609.AG,0.036839,0.015913,31476,0.037687,0.01372,2.747,49987,0.025205,0.02004,1.258,25998
I2610.AG,0.019732,0.02117,9319,0.02781,0.021057,1.321,14631,0.058357,0.044123,1.323,7791
I2612.AG,0.028342,0.037737,6220,0.011677,0.03249,0.359,9933,-0.007308,0.04497,-0.163,5141
I2618.AG,0.049212,0.010637,75357,0.055564,0.010296,5.397,118731,0.044079,0.013966,3.156,61098
I2630.AG,0.041104,0.009435,107172,0.032974,0.010039,3.285,169028,0.021878,0.010986,1.991,87475
I2631.AG,0.049455,0.008797,100358,0.053404,0.008385,6.369,158425,0.034989,0.00963,3.633,83010
